name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 77070 ,15,44,15.9958,+06,25,31.871,2.63
HIP 8903  ,1,54,38.3491,+20,48,29.878,2.64
HIP 26634 ,5,39,38.9399,-34,4,26.578,2.65
HIP 28380 ,5,59,43.2382,+37,12,45.951,2.65
HIP 61359 ,12,34,23.2341,-23,23,47.843,2.65
HIP 6686  ,1,25,48.603,+60,14,7.452,2.66
HIP 67927 ,13,54,41.1162,+18,23,54.915,2.68
HIP 73273 ,14,58,31.9541,-43,8,1.921,2.68
HIP 61585 ,12,37,11.0837,-69,8,7.921,2.69
HIP 52727 ,10,46,46.1221,-49,25,12.451,2.69
HIP 23015 ,4,56,59.6162,+33,9,58.087,2.69
HIP 85696 ,17,30,45.8388,-37,17,44.665,2.7
HIP 35264 ,7,17,8.5642,-37,5,50.953,2.71
HIP 97278 ,19,46,15.5702,+10,36,47.767,2.72
HIP 89931 ,18,20,59.6216,-29,49,40.941,2.72
HIP 80331 ,16,23,59.5069,+61,30,50.671,2.73
HIP 79593 ,16,14,20.7662,-3,41,38.312,2.73
HIP 61941 ,12,41,40.0021,-1,26,58.28,2.74
HIP 52419 ,10,42,57.4267,-64,23,40.126,2.74
HIP 26241 ,5,35,25.9811,-5,54,35.639,2.75
HIP 65109 ,13,20,36.0656,-36,42,43.492,2.75
HIP 72622 ,14,50,52.7773,-16,2,29.798,2.75
HIP 86742 ,17,43,28.3769,+04,34,0.901,2.76
HIP 84345 ,17,14,38.8624,+14,23,24.911,2.78
HIP 23875 ,5,7,51.034,-5,5,10.546,2.78
HIP 80816 ,16,30,13.2617,+21,29,22.735,2.78
HIP 85670 ,17,30,25.9769,+52,18,4.892,2.79
HIP 59747 ,12,15,8.757,-58,44,56.046,2.79
HIP 76297 ,15,35,8.4604,-41,10,0.102,2.8
HIP 81693 ,16,41,17.4771,+31,36,6.793,2.81
HIP 25606 ,5,28,14.7263,-20,45,33.236,2.81
HIP 2021  ,0,25,39.202,-77,15,18.126,2.82
HIP 81266 ,16,35,52.9594,-28,12,57.462,2.82
HIP 90496 ,18,27,58.2695,-25,25,16.49,2.82
HIP 1067  ,0,13,14.15,+15,11,1.017,2.83
HIP 77952 ,15,55,8.808,-63,25,47.099,2.83
HIP 39757 ,8,7,32.7022,-24,18,15.972,2.83
HIP 85258 ,17,25,17.9972,-55,31,47.366,2.84
HIP 85792 ,17,31,50.5216,-49,52,33.534,2.84
HIP 18246 ,3,54,7.9185,+31,53,1.168,2.84
HIP 63608 ,13,2,10.7605,+10,57,32.767,2.85
HIP 107556,21,47,2.2853,-16,7,35.637,2.85
HIP 17702 ,3,47,29.0642,+24,6,18.871,2.85
HIP 9236  ,1,58,45.8718,-61,34,11.728,2.86
HIP 97165 ,19,44,58.4421,+45,7,50.491,2.86
HIP 110130,22,18,30.1782,-60,15,34.181,2.87
HIP 30343 ,6,22,57.5911,+22,30,49.861,2.87
HIP 74946 ,15,18,54.6888,-68,40,46.082,2.87
HIP 94141 ,19,9,45.8338,-21,1,24.691,2.88
HIP 13847 ,2,58,15.7156,-40,18,17.046,2.88
HIP 36188 ,7,27,9.0723,+08,17,21.872,2.89
HIP 63125 ,12,56,1.8409,+38,19,5.686,2.89
HIP 78265 ,15,58,51.1207,-26,6,50.554,2.89
HIP 106278,21,31,33.5207,-5,34,16.161,2.9
HIP 80112 ,16,21,11.3225,-25,35,33.909,2.9
HIP 18532 ,3,57,51.2211,+40,0,36.983,2.9
HIP 14328 ,3,4,47.7902,+53,30,23.221,2.91
HIP 48002 ,9,47,6.1376,-65,4,19.268,2.92
HIP 112158,22,43,0.1286,+30,13,16.711,2.93
HIP 60965 ,12,29,51.9832,-16,30,54.338,2.94
HIP 32768 ,6,49,56.1368,-50,36,51.839,2.94
HIP 109074,22,5,47.0253,0,19,11.376,2.95
HIP 18543 ,3,58,1.7301,-13,30,29.681,2.97
HIP 47908 ,9,45,51.1024,+23,46,27.401,2.97
HIP 26451 ,5,37,38.6843,+21,8,33.335,2.97
HIP 88635 ,18,5,48.5246,-30,25,25.14,2.98
HIP 93747 ,19,5,24.6124,+13,51,49.355,2.99
HIP 87073 ,17,47,35.0811,-40,7,37.135,2.99
HIP 64962 ,13,18,55.2534,-23,10,17.085,2.99
HIP 82514 ,16,51,52.2389,-38,2,50.378,3
HIP 108085,21,53,55.6541,-37,21,53.362,3
HIP 10064 ,2,9,32.5209,+34,59,14.611,3
HIP 75097 ,15,20,43.7492,+71,50,2.303,3
HIP 54539 ,11,9,39.8594,+44,29,54.792,3
HIP 17358 ,3,42,55.4821,+47,47,15.552,3.01
HIP 30122 ,6,20,18.7872,-30,3,48.156,3.02
HIP 33977 ,7,3,1.4736,-23,49,59.885,3.02
HIP 59316 ,12,10,7.5259,-22,37,11.252,3.02
HIP 23416 ,5,1,58.134,+43,49,23.93,3.03
HIP 62322 ,12,46,16.8696,-68,6,29.139,3.04
HIP 71075 ,14,32,4.7578,+38,18,28.381,3.04
HIP 95947 ,19,30,43.2853,+27,57,34.901,3.05
HIP 100345,20,21,0.6464,-14,46,53.044,3.05
HIP 32246 ,6,43,55.9298,+25,7,52.159,3.06
