name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 79664 ,16,15,26.2661,-63,41,8.336,3.86
HIP 87808 ,17,56,15.1785,+37,15,1.878,3.86
HIP 4436  ,0,56,45.0977,+38,29,57.318,3.86
HIP 21594 ,4,38,10.8709,-14,18,12.913,3.86
HIP 81065 ,16,33,27.4642,-78,53,49.053,3.86
HIP 97804 ,19,52,28.3638,+01,0,20.442,3.87
HIP 68282 ,13,58,40.7714,-44,48,12.713,3.87
HIP 43023 ,8,46,1.6547,-46,2,29.541,3.87
HIP 17573 ,3,45,49.5931,+24,22,4.289,3.87
HIP 78104 ,15,56,53.0867,-29,12,50.444,3.87
HIP 71957 ,14,43,3.5623,-5,39,26.745,3.87
HIP 74376 ,15,11,56.161,-48,44,15.728,3.88
HIP 765   ,0,9,24.5399,-45,44,49.158,3.88
HIP 114421,23,10,21.4279,-45,14,47.931,3.88
HIP 48455 ,9,52,45.9577,+26,0,25.506,3.88
HIP 8832  ,1,53,31.7652,+19,17,38.734,3.88
HIP 45336 ,9,14,21.7933,+02,18,54.087,3.89
HIP 13701 ,2,56,25.6038,-8,53,51.395,3.89
HIP 98110 ,19,56,18.3962,+35,5,0.567,3.89
HIP 60129 ,12,19,54.3914,0,40,0.29,3.89
HIP 33152 ,6,54,7.9548,-24,11,3.203,3.89
HIP 55425 ,11,21,0.4422,-54,29,27.65,3.9
HIP 47431 ,9,39,51.334,-1,8,33.566,3.9
HIP 65936 ,13,31,2.6685,-39,24,26.207,3.9
HIP 41307 ,8,25,39.6709,-3,54,22.913,3.91
HIP 60823 ,12,28,2.4116,-50,13,50.177,3.91
HIP 18907 ,4,3,9.3768,+05,59,21.513,3.91
HIP 73807 ,15,5,7.1057,-47,3,4.298,3.91
HIP 76333 ,15,35,31.5394,-14,47,22.393,3.91
HIP 79992 ,16,19,44.4479,+46,18,47.775,3.91
HIP 104987,21,15,49.3967,+05,14,53.066,3.92
HIP 83207 ,17,0,17.4062,+30,55,34.821,3.92
HIP 95168 ,19,21,40.3753,-17,50,50.106,3.92
HIP 21444 ,4,36,19.1406,-3,21,8.813,3.93
HIP 37504 ,7,41,49.196,-72,36,22.087,3.93
HIP 2072  ,0,26,12.1162,-43,40,47.674,3.93
HIP 7083  ,1,31,14.9815,-49,4,23.077,3.93
HIP 54463 ,11,8,35.3956,-58,58,30.151,3.93
HIP 13531 ,2,54,15.4625,+52,45,44.964,3.93
HIP 88192 ,18,0,38.7155,+02,55,53.715,3.93
HIP 78933 ,16,6,48.4325,-20,40,8.885,3.93
HIP 5348  ,1,8,23.0601,-55,14,44.996,3.94
HIP 37447 ,7,41,14.8767,-9,33,3.899,3.94
HIP 37677 ,7,43,48.4721,-28,57,17.407,3.94
HIP 42911 ,8,44,41.1101,+18,9,17.51,3.94
HIP 103413,20,57,10.4116,+41,10,1.898,3.94
HIP 9598  ,2,3,26.1903,+72,25,16.463,3.95
HIP 31592 ,6,36,40.9989,-19,15,20.553,3.95
HIP 45101 ,9,11,16.7679,-62,19,1.257,3.96
HIP 95347 ,19,23,53.1514,-40,36,56.327,3.96
HIP 95241 ,19,22,38.2865,-44,27,32.076,3.96
HIP 19343 ,4,8,39.6733,+47,42,45.337,3.96
HIP 99848 ,20,15,28.3182,+47,42,51.139,3.96
HIP 28328 ,5,59,8.7905,-42,48,54.387,3.96
HIP 44248 ,9,0,38.7522,+41,47,0.398,3.96
HIP 115438,23,22,58.3015,-20,6,1.242,3.96
HIP 98495 ,20,0,35.3933,-72,54,36.664,3.97
HIP 42515 ,8,40,6.1365,-35,18,29.883,3.97
HIP 77634 ,15,50,57.5418,-33,37,37.578,3.97
HIP 112440,22,46,31.8424,+23,33,56.446,3.97
HIP 59449 ,12,11,39.1514,-52,22,6.296,3.97
HIP 110997,22,29,16.1541,-43,29,43.996,3.97
HIP 27673 ,5,51,29.3926,+39,8,54.526,3.97
HIP 20535 ,4,24,2.1654,-34,1,1.151,3.97
HIP 35228 ,7,16,49.8308,-67,57,25.821,3.97
HIP 18614 ,3,58,57.8997,+35,47,27.697,3.98
HIP 106481,21,33,58.8729,+45,35,31.436,3.98
HIP 114996,23,17,25.812,-58,14,9.339,3.99
HIP 9347  ,2,0,0.2248,-21,4,39.979,3.99
HIP 65477 ,13,25,13.4156,+54,59,16.796,3.99
HIP 29651 ,6,14,51.3365,-6,16,29.019,3.99
HIP 50954 ,10,24,23.7405,-74,1,53.561,3.99
HIP 79374 ,16,11,59.7405,-19,27,38.329,4
HIP 44382 ,9,2,26.7988,-66,23,45.037,4
HIP 55642 ,11,23,55.3688,+10,31,46.912,4
HIP 101076,20,29,23.731,+30,22,6.804,4.01
HIP 34088 ,7,4,6.5354,+20,34,13.078,4.01
HIP 91792 ,18,43,2.1338,-71,25,39.823,4.01
HIP 80000 ,16,19,50.5676,-50,9,19.365,4.01
HIP 78527 ,16,1,53.7037,+58,33,51.975,4.01
HIP 71865 ,14,41,57.6128,-37,47,36.326,4.01
HIP 22109 ,4,45,30.141,-3,15,16.649,4.01
HIP 35037 ,7,14,48.6616,-26,46,21.67,4.01
HIP 8068  ,1,43,39.6153,+50,41,19.556,4.01
HIP 43409 ,8,50,32.0113,-27,42,36.211,4.02
HIP 93244 ,18,59,37.3892,+15,4,6.519,4.02
HIP 93429 ,19,1,40.8414,-5,44,20.466,4.02
HIP 59199 ,12,8,24.7527,-24,43,43.608,4.02
HIP 23522 ,5,3,25.0973,+60,26,32.213,4.03
HIP 101421,20,33,12.7648,+11,18,11.996,4.03
HIP 63003 ,12,54,35.6576,-57,10,40.408,4.03
HIP 88601 ,18,5,27.2128,+02,30,8.781,4.03
HIP 118268,23,59,18.6024,+06,51,48.937,4.03
HIP 43103 ,8,46,41.8343,+28,45,36.018,4.03
HIP 10670 ,2,17,18.8357,+33,50,50.356,4.03
HIP 111497,22,35,21.3289,0,7,2.5,4.04
HIP 70497 ,14,25,12.0194,+51,51,6.169,4.04
HIP 57380 ,11,45,51.5706,+06,31,47.33,4.04
HIP 19587 ,4,11,51.9332,-6,50,16.003,4.04
HIP 40702 ,8,18,31.2668,-76,55,11.937,4.05
HIP 55434 ,11,21,8.2482,+06,1,45.67,4.05
HIP 71536 ,14,37,53.2511,-49,25,32.728,4.05
HIP 67459 ,13,49,28.6979,+15,47,52.101,4.05
HIP 70090 ,14,20,33.4793,-37,53,6.962,4.05
HIP 42884 ,8,44,23.966,-42,38,57.564,4.05
HIP 112716,22,49,35.5098,-13,35,33.135,4.05
HIP 14632 ,3,9,2.8833,+49,36,48.6,4.05
HIP 60009 ,12,18,26.2927,-64,0,10.964,4.06
HIP 83153 ,16,59,35.0467,-53,9,37.764,4.06
HIP 22957 ,4,56,22.3211,+13,30,52.479,4.06
HIP 36962 ,7,35,55.3723,+26,53,45.612,4.06
HIP 72010 ,14,43,39.4835,-35,10,23.612,4.06
HIP 55705 ,11,24,52.9832,-17,41,2.463,4.06
HIP 59929 ,12,17,34.6363,-67,57,38.418,4.06
HIP 74117 ,15,8,50.6296,-45,16,47.259,4.07
HIP 69701 ,14,16,0.8849,-5,59,58.294,4.07
HIP 110991,22,29,10.2479,+58,24,54.684,4.07
HIP 74824 ,15,17,30.9602,-58,48,3.164,4.07
HIP 53740 ,10,59,46.7488,-18,17,56.75,4.08
HIP 33160 ,6,54,11.4807,-12,2,18.934,4.08
HIP 11001 ,2,21,45.023,-68,39,33.926,4.08
HIP 46974 ,9,34,26.663,-59,13,47.165,4.08
HIP 3693  ,0,47,20.3902,+24,16,2.557,4.08
HIP 105502,21,22,5.1339,+19,48,15.681,4.08
HIP 12387 ,2,39,28.9483,+00,19,42.66,4.08
HIP 104139,21,5,56.7794,-17,13,57.759,4.08
HIP 92862 ,18,55,20.0852,+43,56,45.213,4.08
HIP 14146 ,3,2,23.5931,-23,37,27.61,4.08
HIP 26366 ,5,36,54.3307,+09,17,29.083,4.09
HIP 77450 ,15,48,44.4086,+18,8,30.405,4.09
HIP 12777 ,2,44,11.688,+49,13,43.199,4.1
HIP 90568 ,18,28,49.736,-49,4,12.111,4.1
HIP 94160 ,19,10,1.7524,-39,20,26.544,4.1
HIP 38164 ,7,49,14.299,-46,22,23.618,4.1
HIP 7513  ,1,36,47.977,+41,24,22.986,4.1
HIP 34045 ,7,3,45.4932,-15,37,59.732,4.11
HIP 48356 ,9,51,28.6825,-14,50,47.58,4.11
HIP 76440 ,15,36,43.1869,-66,19,0.857,4.11
HIP 12486 ,2,40,39.9317,-39,51,19.113,4.11
HIP 42312 ,8,37,38.6414,-42,59,20.773,4.11
HIP 113638,23,0,52.8743,-52,45,14.78,4.11
HIP 94114 ,19,9,28.2783,-37,54,15.262,4.11
HIP 57439 ,11,46,30.849,-61,10,42.093,4.11
HIP 51839 ,10,35,28.2184,-78,36,28.13,4.11
HIP 12394 ,2,39,35.2237,-68,16,1.011,4.12
HIP 58948 ,12,5,12.6696,+08,43,58.244,4.12
HIP 111043,22,29,45.4455,-43,44,57.221,4.12
HIP 98032 ,19,55,15.6791,-41,52,6.289,4.12
HIP 19812 ,4,14,53.8577,+48,24,33.743,4.12
HIP 102978,20,51,49.2962,-26,55,8.855,4.12
HIP 28614 ,6,2,22.9904,+09,38,50.523,4.12
HIP 116771,23,39,56.8203,+05,37,38.473,4.13
HIP 102485,20,46,5.7661,-25,16,13.861,4.13
HIP 77853 ,15,53,49.4771,-16,43,46.64,4.13
HIP 30883 ,6,28,57.7905,+20,12,43.802,4.13
HIP 25247 ,5,23,56.8364,-7,48,28.64,4.13
HIP 112405,22,46,3.7233,-81,22,53.822,4.13
HIP 42313 ,8,37,39.4074,+05,42,13.675,4.14
HIP 16369 ,3,30,52.367,+12,56,12.055,4.14
HIP 17608 ,3,46,19.5603,+23,56,54.463,4.14
HIP 109937,22,15,58.1702,+37,44,55.445,4.14
HIP 107354,21,44,38.7042,+25,38,42.01,4.14
HIP 76127 ,15,32,55.7959,+31,21,32.959,4.14
HIP 78159 ,15,57,35.3019,+26,52,40.895,4.14
HIP 59072 ,12,6,52.8529,-64,36,49.1,4.14
HIP 116805,23,40,24.4418,+44,20,2.32,4.15
HIP 85112 ,17,23,40.9729,+37,8,45.326,4.15
HIP 34769 ,7,11,51.8604,0,29,34.01,4.15
HIP 28734 ,6,4,7.2165,+23,15,49.075,4.16
HIP 78727 ,16,4,21.63,-11,22,24.8,4.16
HIP 36366 ,7,29,6.6097,+31,47,2.686,4.16
HIP 85340 ,17,26,22.2174,-24,10,30.084,4.16
HIP 110003,22,16,49.9664,-7,46,59.653,4.17
HIP 17874 ,3,49,27.2809,-36,12,0.405,4.17
HIP 2599  ,0,32,59.9865,+62,55,54.436,4.17
HIP 69427 ,14,12,53.741,-10,16,26.558,4.18
HIP 109857,22,15,1.679,+57,2,36.475,4.18
HIP 81304 ,16,36,22.4609,-35,15,19.28,4.18
HIP 111954,22,40,39.3256,-27,2,37.013,4.18
HIP 69732 ,14,16,23.1764,+46,5,16.508,4.18
HIP 67457 ,13,49,26.7513,-34,27,2.269,4.19
HIP 92043 ,18,45,39.7312,+20,32,49.645,4.19
HIP 25813 ,5,30,47.0479,+05,56,53.585,4.2
HIP 113246,22,55,56.892,-32,32,22.927,4.2
HIP 51233 ,10,27,53.0925,+36,42,26.921,4.2
HIP 112447,22,46,41.4415,+12,10,26.702,4.2
HIP 38835 ,7,56,51.5583,-22,52,48.535,4.2
HIP 81126 ,16,34,6.1893,+42,26,12.824,4.2
HIP 82080 ,16,45,58.1615,+82,2,14.103,4.21
HIP 20635 ,4,25,22.0988,+22,17,38.332,4.21
HIP 105858,21,26,26.4921,-65,22,5.32,4.21
HIP 16228 ,3,29,4.1344,+59,56,25.205,4.21
HIP 101093,20,29,34.8273,+62,59,38.894,4.21
HIP 114724,23,14,19.3325,-6,2,54.696,4.22
HIP 92609 ,18,52,13.0365,-62,11,15.218,4.22
HIP 17651 ,3,46,50.989,-23,14,54.377,4.22
HIP 13254 ,2,50,34.9142,+38,19,8.07,4.22
HIP 38518 ,7,53,18.1629,-48,6,10.614,4.22
HIP 80569 ,16,27,1.4383,-18,27,22.309,4.22
HIP 102453,20,45,39.7591,+30,43,10.764,4.22
HIP 78918 ,16,6,35.5563,-36,48,7.967,4.22
HIP 92175 ,18,47,10.4773,-4,44,52.183,4.22
HIP 92791 ,18,54,30.2887,+36,53,54.979,4.22
HIP 89908 ,18,20,45.4412,+71,20,15.818,4.22
HIP 105102,21,17,24.9525,+39,23,40.885,4.22
HIP 107259,21,43,30.4549,+58,46,48.191,4.23
HIP 81852 ,16,43,5.4196,-77,30,59.659,4.23
HIP 68520 ,14,1,38.7832,+01,32,40.5,4.23
HIP 1599  ,0,20,1.9142,-64,52,39.444,4.23
HIP 67153 ,13,45,41.5666,-33,2,36.118,4.23
HIP 64394 ,13,11,52.9227,+27,52,33.736,4.23
HIP 93825 ,19,6,25.0396,-37,3,45.926,4.23
HIP 37629 ,7,43,18.6853,+28,53,2.658,4.23
HIP 79101 ,16,8,46.1993,+44,56,5.348,4.23
HIP 107533,21,46,47.6059,+49,18,34.469,4.23
HIP 61317 ,12,33,45.0925,+41,21,24.364,4.24
HIP 11407 ,2,26,59.105,-47,42,13.777,4.24
HIP 86565 ,17,41,24.9165,-12,52,30.622,4.24
HIP 80911 ,16,31,22.9415,-34,42,15.555,4.24
HIP 60000 ,12,18,20.9439,-79,18,44.168,4.24
HIP 5372  ,1,8,44.1594,+86,15,25.625,4.24
HIP 114855,23,15,53.2769,-9,5,15.704,4.24
HIP 12770 ,2,44,7.3545,-13,51,31.233,4.24
HIP 23972 ,5,9,8.783,-8,45,14.674,4.25
HIP 41075 ,8,22,50.1301,+43,11,18.14,4.25
HIP 21402 ,4,35,39.2336,+10,9,39.301,4.25
HIP 62896 ,12,53,26.146,-40,10,43.747,4.25
HIP 70692 ,14,27,31.5225,+75,41,45.381,4.25
HIP 19167 ,4,6,35.0553,+50,21,4.861,4.25
HIP 107418,21,45,26.9293,+61,7,14.918,4.25
HIP 21476 ,4,36,41.4336,+41,15,53.477,4.25
HIP 5896  ,1,15,45.4953,-68,52,34.453,4.25
HIP 22783 ,4,54,3.0106,+66,20,33.577,4.26
HIP 16611 ,3,33,47.2479,-21,37,58.137,4.26
HIP 5434  ,1,9,30.1222,+47,14,30.567,4.26
HIP 15510 ,3,19,53.2248,-43,4,17.577,4.26
HIP 86170 ,17,36,32.8468,-38,38,5.515,4.26
HIP 8198  ,1,45,23.5887,+09,9,27.508,4.26
HIP 19893 ,4,16,1.4914,-51,29,13.545,4.26
HIP 44066 ,8,58,29.197,+11,51,27.979,4.26
HIP 88267 ,18,1,30.4029,+21,35,44.477,4.26
HIP 108917,22,3,47.1619,+64,37,39.915,4.26
HIP 115830,23,27,58.1678,+06,22,44.75,4.27
HIP 12828 ,2,44,56.3734,+10,6,51.191,4.27
HIP 4906  ,1,2,56.6559,+07,53,24.261,4.27
HIP 95294 ,19,23,13.0606,-44,47,58.732,4.27
HIP 102532,20,46,39.518,+16,7,29.184,4.27
HIP 21589 ,4,38,9.4017,+12,30,39.147,4.27
HIP 21881 ,4,42,14.7035,+22,57,25.112,4.27
HIP 19860 ,4,15,32.0452,+08,53,32.676,4.27
HIP 64004 ,13,6,54.663,-49,54,22.377,4.27
HIP 74911 ,15,18,32.0486,-47,52,30.691,4.27
HIP 105515,21,22,14.7774,-16,50,4.399,4.28
HIP 20711 ,4,26,18.3948,+22,48,49.298,4.28
HIP 99655 ,20,13,23.8011,+56,34,3.08,4.28
HIP 114131,23,6,52.7685,-43,31,13.168,4.28
HIP 109410,22,9,59.2526,+33,10,41.763,4.28
HIP 85423 ,17,27,21.264,-29,52,0.118,4.28
HIP 51172 ,10,27,9.1559,-31,4,4.088,4.28
HIP 47193 ,9,37,5.3519,+81,19,35.115,4.28
HIP 77055 ,15,44,3.4639,+77,47,40.196,4.29
HIP 16852 ,3,36,52.519,+00,24,10.199,4.29
HIP 52154 ,10,39,18.4125,-55,36,11.805,4.29
HIP 116631,23,38,8.1791,+43,16,5.074,4.29
HIP 57936 ,11,52,54.5613,-33,54,29.269,4.29
HIP 111188,22,31,30.2896,-32,20,45.701,4.29
HIP 24845 ,5,19,34.526,-13,10,36.397,4.29
HIP 80894 ,16,31,8.3949,-16,36,45.505,4.29
HIP 109139,22,6,26.2053,-13,52,10.344,4.29
HIP 61174 ,12,32,4.4848,-16,11,45.116,4.3
HIP 20648 ,4,25,29.3174,+17,55,40.761,4.3
HIP 56647 ,11,36,56.9299,0,49,25.875,4.3
HIP 100027,20,17,38.8561,-12,30,29.571,4.3
HIP 70069 ,14,20,19.5527,-56,23,11.325,4.3
HIP 57669 ,11,49,41.088,-63,47,18.561,4.3
HIP 17531 ,3,45,12.4821,+24,28,2.564,4.3
HIP 28404 ,5,59,56.1014,+45,56,12.312,4.3
HIP 17797 ,3,48,35.8229,-37,37,12.464,4.3
HIP 53417 ,10,55,36.848,+24,44,59.116,4.3
HIP 4577  ,0,58,36.3459,-29,21,26.872,4.3
HIP 11484 ,2,28,9.5179,+08,27,36.319,4.3
HIP 42799 ,8,43,13.4864,+03,23,55.195,4.3
HIP 42568 ,8,40,37.0352,-59,45,39.653,4.31
HIP 75411 ,15,24,29.5362,+37,22,37.059,4.31
HIP 70638 ,14,26,55.7408,-83,40,4.271,4.31
HIP 101847,20,38,20.2735,-1,6,18.286,4.31
HIP 78990 ,16,7,24.3001,-20,52,7.155,4.31
HIP 43067 ,8,46,22.5275,-13,32,51.738,4.32
HIP 84880 ,17,20,49.6356,-12,50,48.775,4.32
HIP 58758 ,12,3,1.6991,-63,18,46.602,4.32
HIP 29696 ,6,15,22.7366,+29,29,55.364,4.32
HIP 64241 ,13,9,59.5494,+17,31,44.818,4.32
HIP 46750 ,9,31,43.2404,+22,58,5.036,4.32
HIP 25945 ,5,32,12.7512,+18,35,39.283,4.32
HIP 21763 ,4,40,26.4939,-19,40,16.525,4.32
HIP 67669 ,13,51,49.6252,-32,59,38.459,4.32
HIP 72683 ,14,51,38.3233,-43,34,31.058,4.32
HIP 16826 ,3,36,29.3601,+48,11,33.722,4.32
HIP 88866 ,18,8,34.7908,-63,40,4.974,4.33
HIP 62867 ,12,53,6.9766,-48,56,35.711,4.33
HIP 36284 ,7,28,9.8295,+08,55,31.814,4.33
HIP 84405 ,17,15,21.2873,-26,36,0.176,4.33
HIP 89826 ,18,19,51.7212,+36,3,52.009,4.33
HIP 70576 ,14,26,10.8016,-45,22,45.339,4.33
HIP 45496 ,9,16,12.1024,-57,32,29.176,4.34
HIP 40888 ,8,20,38.8879,-77,29,4.475,4.34
HIP 47175 ,9,36,49.657,-49,21,18.463,4.34
HIP 27100 ,5,44,46.4191,-65,44,7.947,4.34
HIP 3031  ,0,38,33.4993,+29,18,44.528,4.34
HIP 107348,21,44,30.6905,+17,21,0.157,4.34
HIP 68523 ,14,1,43.492,-45,36,12.132,4.34
HIP 2912  ,0,36,52.839,+33,43,9.668,4.34
HIP 111022,22,29,31.8227,+47,42,24.822,4.34
HIP 92161 ,18,47,1.2224,+18,10,52.427,4.34
HIP 76552 ,15,38,3.3223,-42,34,2.946,4.34
HIP 91971 ,18,44,46.3359,+37,36,18.181,4.34
HIP 5542  ,1,11,5.9307,+55,8,59.812,4.34
HIP 31125 ,6,31,51.3682,-23,25,6.374,4.34
HIP 85355 ,17,26,30.8796,+04,8,25.233,4.34
HIP 60742 ,12,26,56.3276,+28,16,7.031,4.35
HIP 43234 ,8,48,25.9808,+05,50,16.385,4.35
HIP 107380,21,44,56.7878,-33,1,31.991,4.35
HIP 22509 ,4,50,36.7223,+08,54,0.909,4.35
HIP 90098 ,18,23,13.6206,-61,29,38.058,4.35
HIP 39794 ,8,7,55.8408,-68,37,1.691,4.35
HIP 14838 ,3,11,37.6697,+19,43,36.112,4.35
HIP 31407 ,6,34,58.5874,-52,58,32.284,4.35
HIP 33449 ,6,57,16.5985,+58,25,23.015,4.35
HIP 94713 ,19,16,22.0954,+38,8,1.42,4.35
HIP 74857 ,15,17,49.8449,-30,8,55.184,4.35
HIP 85822 ,17,32,12.8972,+86,35,10.785,4.35
HIP 3405  ,0,43,21.244,-57,27,47.151,4.36
HIP 19038 ,4,4,41.6579,+22,4,55.444,4.36
HIP 96468 ,19,36,43.2765,-1,17,11.582,4.36
HIP 22701 ,4,52,53.6804,-5,27,9.921,4.36
HIP 10324 ,2,13,0.011,+08,50,48.308,4.36
HIP 39863 ,8,8,35.6577,-2,59,1.595,4.36
HIP 28199 ,5,57,32.2119,-35,16,59.905,4.36
HIP 2484  ,0,31,32.5608,-62,57,29.108,4.36
HIP 68862 ,14,6,2.786,-41,10,46.489,4.36
HIP 24327 ,5,13,13.885,-12,56,28.638,4.36
HIP 16335 ,3,30,34.4822,+47,59,42.619,4.36
HIP 33347 ,6,56,8.2263,-17,3,15.288,4.36
HIP 154   ,0,1,57.5916,-6,0,50.298,4.37
HIP 98412 ,19,59,44.1743,-35,16,34.48,4.37
HIP 88886 ,18,8,45.4926,+20,48,52.459,4.37
HIP 53773 ,11,0,9.2458,-42,13,33.131,4.37
HIP 29807 ,6,16,33.1354,-35,8,26.634,4.37
HIP 35415 ,7,18,42.4879,-24,57,15.784,4.37
HIP 64238 ,13,9,57.012,-5,32,20.148,4.38
HIP 99255 ,20,8,53.3164,+77,42,40.902,4.38
HIP 116231,23,32,58.1881,-37,49,6.092,4.38
HIP 115669,23,26,2.8174,-20,38,30.7,4.38
HIP 49637 ,10,7,54.3188,+09,59,51.59,4.39
HIP 96757 ,19,40,5.7825,+18,0,50.178,4.39
HIP 73620 ,15,2,54.07,+02,5,28.577,4.39
HIP 26176 ,5,34,49.2378,+09,29,22.507,4.39
HIP 30419 ,6,23,46.0977,+04,35,34.22,4.39
HIP 39311 ,8,2,15.9533,+02,20,3.531,4.39
HIP 82673 ,16,54,0.5034,+10,9,55.596,4.39
HIP 105319,21,19,51.8838,-53,26,57.352,4.39
HIP 84893 ,17,21,0.2103,-21,6,44.766,4.39
HIP 8837  ,1,53,38.8197,-46,18,8.807,4.39
HIP 96837 ,19,41,2.9337,+17,28,34.045,4.39
HIP 27913 ,5,54,23.0839,+20,16,35.094,4.39
HIP 17884 ,3,49,31.2854,+65,31,33.623,4.39
HIP 4463  ,0,57,12.4278,+23,25,3.936,4.4
HIP 108431,21,57,55.031,-54,59,33.24,4.4
HIP 38070 ,7,48,5.1749,-25,56,13.85,4.4
HIP 39906 ,8,9,1.6434,-19,14,42.003,4.4
HIP 93015 ,18,56,57.0407,-67,14,0.726,4.4
HIP 114222,23,7,53.8381,+75,23,15.293,4.41
HIP 105138,21,17,55.0679,+34,53,48.772,4.41
HIP 115102,23,18,49.4268,-32,31,54.609,4.41
HIP 32761 ,6,49,51.3161,-53,37,20.972,4.41
HIP 34693 ,7,11,8.3916,+30,14,43.01,4.41
HIP 70300 ,14,23,2.2573,-39,30,42.358,4.41
HIP 85693 ,17,30,44.298,+26,6,38.176,4.41
HIP 115033,23,17,54.2036,-9,10,56.964,4.41
HIP 87998 ,17,58,30.1497,+30,11,21.368,4.41
HIP 110538,22,23,33.6364,+52,13,46.198,4.42
HIP 88290 ,18,1,45.1895,+01,18,18.394,4.42
HIP 115623,23,25,22.6614,+23,24,14.445,4.42
HIP 72571 ,14,50,17.4667,-27,57,36.789,4.42
HIP 77257 ,15,46,26.7459,+07,21,11.663,4.42
HIP 29038 ,6,7,34.3219,+14,46,6.683,4.42
HIP 34922 ,7,13,32.2309,-44,38,25.906,4.42
HIP 53954 ,11,2,19.7812,+20,10,47.085,4.42
HIP 40326 ,8,14,2.8871,-40,20,51.829,4.42
HIP 31700 ,6,37,53.4259,-18,14,14.846,4.42
HIP 34981 ,7,14,15.2164,-26,21,9.058,4.42
HIP 23040 ,4,57,17.2204,+53,45,7.498,4.43
HIP 19849 ,4,15,17.6382,-7,38,40.41,4.43
HIP 100587,20,23,51.596,+32,11,24.67,4.43
HIP 98688 ,20,2,39.4593,-27,42,35.567,4.43
HIP 102281,20,43,27.5457,+15,4,28.856,4.43
HIP 94481 ,19,13,45.4887,+39,8,45.491,4.43
HIP 17593 ,3,46,8.5024,-12,6,6.247,4.43
HIP 102624,20,47,44.2379,-5,1,39.371,4.43
HIP 19921 ,4,16,29.0835,-59,18,6.294,4.44
HIP 30060 ,6,19,37.3908,+59,0,39.259,4.44
HIP 40706 ,8,18,33.3932,-36,39,34.318,4.44
HIP 21770 ,4,40,33.8231,-41,51,48.853,4.44
HIP 3786  ,0,48,40.8954,+07,35,6.727,4.44
HIP 71121 ,14,32,37.0835,-50,27,25.637,4.44
HIP 40091 ,8,11,21.5002,-39,37,6.791,4.44
HIP 95771 ,19,28,42.411,+24,39,54.593,4.44
HIP 36795 ,7,34,3.206,-22,17,46.251,4.44
HIP 1170  ,0,14,38.4327,-18,55,57.671,4.44
HIP 51849 ,10,35,35.3146,-57,33,27.488,4.45
HIP 55084 ,11,16,39.7641,-3,39,5.451,4.45
HIP 42402 ,8,38,45.4488,+03,20,29.309,4.45
HIP 94648 ,19,15,33.2937,+73,21,18.772,4.45
HIP 7884  ,1,41,25.9076,+05,29,15.376,4.45
HIP 29426 ,6,11,56.3968,+14,12,31.731,4.45
HIP 96229 ,19,34,5.2277,+07,22,45.549,4.45
HIP 44191 ,9,0,5.4401,-41,15,13.456,4.45
HIP 52633 ,10,45,47.1358,-80,32,24.73,4.45
HIP 13147 ,2,49,5.3595,-32,24,22.623,4.45
HIP 80975 ,16,32,8.1866,-21,27,59.32,4.45
HIP 24244 ,5,12,17.8874,-11,52,8.914,4.45
HIP 44901 ,9,8,52.3857,+51,36,17.018,4.46
HIP 18255 ,3,54,17.4866,-2,57,17.041,4.46
HIP 59173 ,12,8,5.2563,-50,39,40.516,4.46
HIP 80582 ,16,27,11.0478,-47,33,17.049,4.46
HIP 112948,22,52,31.5579,-32,52,31.621,4.46
HIP 24331 ,5,13,17.4796,+02,51,40.512,4.46
HIP 11569 ,2,29,3.9882,+67,24,8.582,4.46
HIP 54682 ,11,11,39.4863,-22,49,32.183,4.46
HIP 44599 ,9,5,8.8303,-72,36,9.698,4.47
HIP 104858,21,14,28.7901,+10,0,27.787,4.47
HIP 73165 ,14,57,11.0568,-4,20,45.911,4.47
HIP 23123 ,4,58,32.9029,+01,42,50.526,4.47
HIP 31216 ,6,32,54.2296,+07,19,58.725,4.47
HIP 57803 ,11,51,8.7516,-45,10,24.418,4.47
HIP 38957 ,7,58,14.4439,-49,14,41.743,4.47
HIP 47006 ,9,34,49.4949,+52,3,5.643,4.47
HIP 46146 ,9,24,39.2793,+26,10,56.787,4.47
HIP 71284 ,14,34,40.6905,+29,44,41.306,4.47
HIP 15549 ,3,20,20.3663,+29,2,54.594,4.47
HIP 109111,22,6,6.9036,-39,32,34.977,4.47
HIP 30788 ,6,28,10.2175,-32,34,48.466,4.47
HIP 12843 ,2,45,5.9815,-18,34,21.543,4.47
HIP 75323 ,15,23,22.6578,-59,19,14.514,4.48
HIP 18744 ,4,0,53.805,-62,9,33.729,4.48
HIP 32578 ,6,47,51.6568,+02,24,43.881,4.48
HIP 113889,23,3,52.6065,+03,49,12.252,4.48
HIP 20713 ,4,26,20.6717,+15,37,6.046,4.48
HIP 80343 ,16,24,6.1973,-20,2,13.961,4.48
HIP 49641 ,10,7,56.2956,0,22,17.86,4.48
HIP 114119,23,6,40.8073,-23,44,35.22,4.48
HIP 3504  ,0,44,43.5021,+48,17,3.777,4.48
HIP 116971,23,42,43.2849,-14,32,41.073,4.49
HIP 38455 ,7,52,38.6533,-38,51,46.159,4.49
HIP 116928,23,42,2.8818,+01,46,49.502,4.49
HIP 118322,23,59,54.9101,-65,34,37.48,4.49
HIP 49593 ,10,7,25.7251,+35,14,40.89,4.49
